generation,best_so_far,best_reached,gen_best,gen_mean,gen_median,sigma,stagnation,local_search_improved,immigrants,evals,cache_hits,gen_seconds,wall_s
31,104.33559668886653,4,104.33559668886653,51.097127799897315,48.29887355933996,0.07350918906249998,6,False,0,742,62,98.45,4276.5
32,104.33559668886653,4,104.33559668886653,55.448187812949435,66.28035325407019,0.07350918906249998,7,False,0,764,64,106.39,4382.8
33,104.33559668886653,4,104.33559668886653,55.59105867571834,61.6976760970001,0.07350918906249998,8,False,0,786,66,114.28,4497.1
34,104.33559668886653,4,104.33559668886653,62.2443644481205,67.15621115054459,0.07350918906249998,9,False,0,814,68,150.71,4647.8
35,104.33559668886653,4,104.33559668886653,57.45042776566916,59.01633669454907,0.07350918906249998,10,False,0,836,70,127.67,4775.5
36,108.08008303366776,5,108.08008303366776,66.6710964976019,66.58173208036438,0.06983372960937498,0,False,0,858,72,116.5,4892.0
37,108.08008303366776,5,108.08008303366776,49.20723328659861,50.04314851693723,0.06983372960937498,1,False,0,880,74,101.79,4993.8
38,108.08008303366776,5,108.08008303366776,50.86960117569075,47.250355668451,0.06983372960937498,2,False,0,902,76,133.72,5127.5
39,108.08008303366776,5,108.08008303366776,57.86605877991897,61.407791184126296,0.06983372960937498,3,False,0,930,78,166.5,5294.1
40,108.08008303366776,5,108.08008303366776,52.862994949161454,48.480319494055514,0.06983372960937498,4,False,0,952,80,140.55,5434.6
41,108.08008303366776,5,108.08008303366776,43.97730453262102,44.03273918245693,0.06983372960937498,5,False,0,974,82,101.79,5536.4
42,108.08008303366776,5,108.08008303366776,48.839301668860564,47.161370524545745,0.06983372960937498,6,False,0,996,84,119.83,5656.3
43,108.08008303366776,5,108.08008303366776,49.71101073115471,52.78250489872611,0.06983372960937498,7,False,0,1018,86,120.33,5776.6
44,108.08008303366776,5,108.08008303366776,59.13610514940131,64.31334641499495,0.06983372960937498,8,False,0,1046,88,133.81,5910.4
45,108.08008303366776,5,108.08008303366776,57.50975004230302,58.93960646231524,0.06983372960937498,9,False,0,1068,90,114.83,6025.2
46,108.08008303366776,5,108.08008303366776,52.295243090660215,57.22665829158724,0.06983372960937498,10,False,0,1090,92,104.46,6129.7
47,108.08008303366776,5,108.08008303366776,62.2847072510001,64.3912974545609,0.06983372960937498,11,False,0,1112,94,115.56,6245.3
48,108.08008303366776,5,108.08008303366776,61.91096580171305,62.29618766708861,0.06983372960937498,12,False,0,1134,96,130.18,6375.5
49,108.08008303366776,5,108.08008303366776,55.628176512952344,60.13552489532568,0.06983372960937498,13,False,0,1162,98,143.15,6518.6
50,108.08008303366776,5,108.08008303366776,53.728711147200805,53.14971391074108,0.06983372960937498,14,False,0,1184,100,118.3,6644.9
51,108.08008303366776,5,108.08008303366776,48.13214033465226,46.468637079262926,0.09078384849218747,15,False,0,1206,102,132.54,6777.5
52,108.08008303366776,5,108.08008303366776,52.835264448059746,51.75595785614626,0.09078384849218747,16,False,0,1228,104,101.6,6879.1
53,108.08008303366776,5,108.08008303366776,52.53564593016887,60.39873202056674,0.09078384849218747,17,False,0,1250,106,95.2,6974.3
54,108.08008303366776,5,108.08008303366776,49.76347731712477,45.91054110772012,0.09078384849218747,18,False,0,1278,108,141.97,7116.3
55,108.08008303366776,5,108.08008303366776,44.23156633100444,34.840686712354376,0.09078384849218747,19,False,0,1300,110,110.68,7226.9
56,108.08008303366776,5,108.08008303366776,47.977997328070096,33.15991524608113,0.09078384849218747,20,False,0,1322,112,103.71,7330.7
57,108.08008303366776,5,108.08008303366776,45.96429601735735,45.675010194671785,0.09078384849218747,21,False,0,1344,114,96.85,7427.5
58,108.08008303366776,5,108.08008303366776,43.02996967042042,35.13020969548788,0.09078384849218747,22,False,0,1366,116,91.59,7519.1
59,108.08008303366776,5,108.08008303366776,49.874738511623406,44.44469240907728,0.09078384849218747,23,False,0,1394,118,121.42,7640.5
60,108.53318621719129,5,108.53318621719129,47.654583735607254,38.324928591990485,0.0862446560675781,0,False,0,1416,120,89.56,7730.1
61,108.53318621719129,5,108.53318621719129,50.0962936947138,40.22744852964152,0.0862446560675781,1,False,0,1438,122,97.31,7827.4
62,119.31828703703704,6,119.31828703703704,52.88140100378707,46.664419399659984,0.0819324232641992,0,False,0,1460,124,105.3,7932.7
63,119.31828703703704,6,119.31828703703704,48.87109155461883,45.025065772218404,0.0819324232641992,1,False,0,1482,126,93.56,8026.3
64,119.31828703703704,6,119.31828703703704,51.46562271130309,46.95912485796879,0.0819324232641992,2,False,0,1510,128,122.86,8149.1
65,119.31828703703704,6,119.31828703703704,48.20081098931336,49.47536384268219,0.0819324232641992,3,False,0,1532,130,85.91,8235.1
66,119.31828703703704,6,119.31828703703704,47.65848589902788,35.51604086705061,0.0819324232641992,4,False,0,1554,132,90.66,8325.7
67,119.31828703703704,6,119.31828703703704,47.14909163267316,43.46790070737357,0.0819324232641992,5,False,0,1576,134,88.1,8413.8
68,119.31828703703704,6,119.31828703703704,49.08024045214353,53.500800017788485,0.0819324232641992,6,False,0,1598,136,86.98,8500.8
69,119.31828703703704,6,119.31828703703704,63.0493201414238,72.19025209384375,0.0819324232641992,7,False,0,1626,138,124.47,8625.3
70,120.28356481481482,6,120.28356481481482,61.3530696148545,55.49088918773599,0.07783580210098923,0,False,0,1648,140,97.89,8723.2
71,120.28356481481482,6,120.28356481481482,55.19584463513407,43.85384602161869,0.07783580210098923,1,False,0,1670,142,92.45,8815.6
72,120.28356481481482,6,120.28356481481482,61.30199320171764,62.87117266380665,0.07783580210098923,2,False,0,1692,144,99.82,8915.5
73,120.28356481481482,6,120.28356481481482,65.93701992128068,78.89381431741742,0.07783580210098923,3,False,0,1714,146,90.36,9005.8
74,120.28356481481482,6,120.28356481481482,65.47546676072197,65.56998192389874,0.07783580210098923,4,False,0,1742,148,130.88,9136.7
75,120.28356481481482,6,120.28356481481482,60.1052457033146,62.07434521956886,0.07783580210098923,5,False,0,1764,150,95.96,9243.1
76,120.28356481481482,6,120.28356481481482,62.34448312526673,67.98439853157976,0.07783580210098923,6,False,0,1786,152,95.52,9338.6
77,120.28356481481482,6,120.28356481481482,69.72913339517939,74.20090033569247,0.07783580210098923,7,False,0,1808,154,100.16,9438.8
78,123.60300925925927,6,123.60300925925927,60.6884158862812,62.65589124110535,0.07394401199593977,0,False,0,1830,156,87.42,9526.2
79,123.60300925925927,6,123.60300925925927,69.87119063779939,72.4982883556752,0.07394401199593977,1,False,0,1858,158,131.22,9657.4
80,123.60300925925927,6,123.60300925925927,53.371109138347954,35.73521840707347,0.07394401199593977,2,False,0,1880,160,83.77,9741.2
81,123.60300925925927,6,123.60300925925927,57.60895321496394,47.482667702837304,0.07394401199593977,3,False,0,1902,162,95.08,9836.3
82,123.60300925925927,6,123.60300925925927,65.89010322005986,66.7129708499473,0.07394401199593977,4,False,0,1924,164,92.65,9928.9
83,123.60300925925927,6,123.60300925925927,60.27557319003668,58.939516795431295,0.07394401199593977,5,False,0,1946,166,91.45,10020.4
84,123.60300925925927,6,123.60300925925927,58.87937193380305,46.8092107930314,0.07394401199593977,6,False,0,1974,168,114.73,10135.1
85,123.60300925925927,6,123.60300925925927,61.52354459743747,55.70217740878145,0.07394401199593977,7,False,0,1996,170,92.42,10227.5
86,123.60300925925927,6,123.60300925925927,62.026596137172156,68.06790528853224,0.07394401199593977,8,False,0,2018,172,95.0,10322.5
87,126.4872685185185,6,126.4872685185185,63.71736497649158,59.38389136927765,0.07024681139614278,0,False,0,2040,174,89.61,10412.1
88,126.4872685185185,6,126.4872685185185,60.64969511723968,60.15219086228234,0.07024681139614278,1,False,0,2062,176,94.09,10506.2
89,126.4872685185185,6,126.4872685185185,67.65397862758927,74.36464312385257,0.07024681139614278,2,False,0,2090,178,125.49,10631.7
90,126.4872685185185,6,126.4872685185185,58.061570205288376,38.43060437861068,0.07024681139614278,3,False,0,2112,180,87.66,10719.4
91,126.4872685185185,6,126.4872685185185,65.6797915341701,64.94451410886754,0.07024681139614278,4,False,0,2134,182,90.33,10809.7
92,126.4872685185185,6,126.4872685185185,59.661658778744346,59.75620382773429,0.07024681139614278,5,False,0,2156,184,93.45,10903.2
93,126.4872685185185,6,126.4872685185185,61.681744507880744,55.89104560036965,0.07024681139614278,6,False,0,2178,186,90.32,10993.5
94,126.4872685185185,6,126.4872685185185,72.18215379970975,64.14209487903135,0.07024681139614278,7,False,0,2206,188,124.36,11117.9
95,126.4872685185185,6,126.4872685185185,60.80981478319338,58.5666418749081,0.07024681139614278,8,False,0,2228,190,99.57,11217.4
96,126.4872685185185,6,126.4872685185185,60.82191560365764,53.274635988095554,0.07024681139614278,9,False,0,2250,192,95.91,11313.3
97,126.4872685185185,6,126.4872685185185,67.39159036146758,74.80649628486873,0.07024681139614278,10,False,0,2272,194,91.63,11405.0
98,126.4872685185185,6,126.4872685185185,61.40181302634192,74.67000505098233,0.07024681139614278,11,False,0,2294,196,90.44,11495.4
99,126.4872685185185,6,126.4872685185185,68.9720692214381,69.79089126925885,0.07024681139614278,12,False,0,2321,199,114.39,11609.8
100,126.4872685185185,6,126.4872685185185,71.36974069222781,78.47177969769079,0.07024681139614278,13,False,0,2343,201,94.59,11714.5
101,126.4872685185185,6,126.4872685185185,59.599985969447346,61.0479298388576,0.07024681139614278,14,False,0,2365,203,88.52,11803.0
102,126.4872685185185,6,126.4872685185185,64.52646882404447,63.08198258583704,0.09132085481498561,15,False,0,2387,205,99.26,11902.3
103,126.4872685185185,6,126.4872685185185,57.11652748158324,52.09920988871969,0.09132085481498561,16,False,0,2409,207,87.35,11989.7
104,126.4872685185185,6,126.4872685185185,59.98480849856356,59.19222226822758,0.09132085481498561,17,False,0,2437,209,117.5,12107.2
105,126.4872685185185,6,126.4872685185185,62.67624730181305,68.81145172125733,0.09132085481498561,18,False,0,2459,211,83.24,12190.4
106,126.4872685185185,6,126.4872685185185,61.77891952340471,67.29680866025409,0.09132085481498561,19,False,0,2481,213,87.82,12278.2
107,126.4872685185185,6,126.4872685185185,57.087323889721596,50.92899926607243,0.09132085481498561,20,False,0,2502,216,81.19,12359.4
108,126.4872685185185,6,126.4872685185185,53.392284921693154,47.76985303086725,0.09132085481498561,21,False,0,2524,218,87.77,12447.2
109,126.4872685185185,6,126.4872685185185,56.76439443570584,52.321484216066246,0.09132085481498561,22,False,0,2552,220,109.99,12557.2
110,126.4872685185185,6,126.4872685185185,64.92147097735104,66.13442624305688,0.09132085481498561,23,False,0,2574,222,92.69,12649.9
111,126.4872685185185,6,126.4872685185185,53.05395998743921,51.996284228758334,0.09132085481498561,24,False,0,2596,224,90.29,12740.2
112,126.4872685185185,6,126.4872685185185,60.47689174128836,68.19022876226452,0.09132085481498561,25,False,0,2618,226,91.58,12831.8
113,126.4872685185185,6,126.4872685185185,57.98967021160496,58.99321943741772,0.09132085481498561,26,False,0,2640,228,86.67,12918.4
114,126.4872685185185,6,126.4872685185185,59.92151172792529,59.9310081849932,0.09132085481498561,27,False,0,2668,230,126.22,13044.7
115,126.4872685185185,6,126.4872685185185,58.87453174238058,60.48014616331445,0.09132085481498561,28,False,0,2690,232,87.45,13132.1
116,126.4872685185185,6,126.4872685185185,59.347949972132646,59.21776935437077,0.09132085481498561,29,False,0,2712,234,92.8,13224.9
117,126.4872685185185,6,126.4872685185185,58.68045474644728,71.94635358844502,0.1187171112594813,30,False,0,2734,236,84.28,13309.2
118,126.4872685185185,6,126.4872685185185,56.10667915414741,57.95789938097081,0.1187171112594813,31,False,0,2756,238,90.35,13399.5
119,126.4872685185185,6,126.4872685185185,55.78359935666356,57.12133505588007,0.1187171112594813,32,False,0,2784,240,113.29,13512.8
120,126.4872685185185,6,126.4872685185185,54.69032717911434,40.73926991254718,0.1187171112594813,33,False,0,2806,242,79.27,13592.1
121,126.4872685185185,6,126.4872685185185,52.286329649732686,51.87251344221737,0.1187171112594813,34,False,0,2828,244,89.82,13681.9
122,126.4872685185185,6,126.4872685185185,57.298536405494424,49.61747804337443,0.1187171112594813,35,False,0,2850,246,89.1,13771.0
123,126.4872685185185,6,126.4872685185185,72.81201469141696,78.57245301551043,0.1187171112594813,36,False,0,2872,248,93.96,13865.0
124,126.4872685185185,6,126.4872685185185,66.85792839555329,74.42829769978101,0.1187171112594813,37,False,0,2900,250,111.12,13976.1
125,126.4872685185185,6,126.4872685185185,45.43413795650965,34.15395034486796,0.1187171112594813,38,False,0,2922,252,84.38,14060.5
126,126.4872685185185,6,126.4872685185185,60.49800063087673,71.08195957501063,0.1187171112594813,39,False,0,2944,254,95.31,14155.8
127,126.4872685185185,6,126.4872685185185,53.77941001561755,37.43055829862857,0.1187171112594813,40,False,3,2966,256,91.18,14247.0
128,126.4872685185185,6,126.4872685185185,53.69739732925635,48.464478923242126,0.1187171112594813,41,False,0,2988,258,82.6,14329.6
129,126.4872685185185,6,126.4872685185185,54.84944187171416,56.21784889249092,0.1187171112594813,42,False,0,3016,260,113.69,14443.3
130,126.4872685185185,6,126.4872685185185,41.91075136059746,33.26425762387464,0.1187171112594813,43,False,0,3038,262,77.24,14520.6
131,126.4872685185185,6,126.4872685185185,55.75505439503424,52.73314964624711,0.1187171112594813,44,False,0,3060,264,90.57,14611.1
132,126.4872685185185,6,126.4872685185185,62.58669084093639,79.42852389391624,0.1543322446373257,45,False,0,3082,266,91.97,14703.1
133,126.4872685185185,6,126.4872685185185,58.72805828314774,73.78916737723597,0.1543322446373257,46,False,0,3104,268,90.87,14794.0
134,126.4872685185185,6,126.4872685185185,47.245236595240094,40.84102683830648,0.1543322446373257,47,False,0,3132,270,106.0,14900.0
135,126.4872685185185,6,126.4872685185185,50.224644306740835,44.83681370845741,0.1543322446373257,48,False,0,3154,272,89.74,14989.7
136,126.4872685185185,6,126.4872685185185,60.912754846951664,68.1983375821841,0.1543322446373257,49,False,0,3176,274,95.48,15085.2
137,126.4872685185185,6,126.4872685185185,53.00564918919127,55.6733056035654,0.1543322446373257,50,False,0,3198,276,85.53,15170.8
138,126.4872685185185,6,126.4872685185185,53.35979855941426,51.3882128542044,0.1543322446373257,51,False,0,3220,278,97.27,15268.0
139,126.4872685185185,6,126.4872685185185,57.47748785737022,66.09141651690588,0.1543322446373257,52,False,0,3248,280,114.3,15382.3
140,126.4872685185185,6,126.4872685185185,46.26461741588832,32.01662317439674,0.1543322446373257,53,False,0,3270,282,83.61,15465.9
141,126.4872685185185,6,126.4872685185185,41.06619473890153,31.83690297120199,0.1543322446373257,54,False,0,3292,284,87.53,15553.5
142,126.4872685185185,6,126.4872685185185,48.17457981685809,39.26524166457222,0.1543322446373257,55,False,0,3314,286,85.91,15639.4
143,126.4872685185185,6,126.4872685185185,50.017652036135594,36.56262438192978,0.1543322446373257,56,False,0,3336,288,88.53,15727.9
144,126.4872685185185,6,126.4872685185185,54.914894687374705,60.42042893466404,0.1543322446373257,57,False,0,3364,290,114.97,15842.9
145,126.4872685185185,6,126.4872685185185,46.44853156098373,43.801123581364585,0.1543322446373257,58,False,0,3386,292,91.46,15934.4
146,126.4872685185185,6,126.4872685185185,61.882078467658054,68.99593668879729,0.1543322446373257,59,False,0,3408,294,95.57,16029.9
147,126.4872685185185,6,126.4872685185185,52.89285068842838,51.87462169015834,0.20063191802852343,60,False,0,3430,296,87.53,16117.5
148,126.4872685185185,6,126.4872685185185,38.23423122238054,31.852267373629502,0.20063191802852343,61,False,0,3452,298,84.31,16201.8
149,126.4872685185185,6,126.4872685185185,59.58942865337144,60.64586781149826,0.20063191802852343,62,False,0,3480,300,133.84,16335.6
150,126.4872685185185,6,126.4872685185185,41.65677580331329,38.67778290558311,0.20063191802852343,63,False,0,3502,302,78.58,16414.2
151,126.4872685185185,6,126.4872685185185,35.74687680408108,27.84419556857278,0.20063191802852343,64,False,0,3524,304,78.98,16493.2
152,126.4872685185185,6,126.4872685185185,32.53771533189183,23.832697289708715,0.20063191802852343,65,False,0,3546,306,72.89,16566.1
153,126.4872685185185,6,126.4872685185185,35.39164626869089,17.465862370555964,0.20063191802852343,66,False,0,3568,308,74.08,16640.2
154,126.4872685185185,6,126.4872685185185,36.75081887698862,19.329302403602554,0.20063191802852343,67,False,0,3596,310,110.49,16750.7
155,126.4872685185185,6,126.4872685185185,43.760637610779575,37.009423911542406,0.20063191802852343,68,False,0,3618,312,80.92,16831.6
156,126.4872685185185,6,126.4872685185185,44.796428823286526,34.89309727131943,0.20063191802852343,69,False,0,3640,314,88.51,16920.1
157,126.4872685185185,6,126.4872685185185,37.30149770008462,26.283237754377616,0.20063191802852343,70,False,0,3662,316,79.49,16999.6
158,126.4872685185185,6,126.4872685185185,49.268925692265775,31.372168918720842,0.20063191802852343,71,False,0,3684,318,83.31,17082.9
159,126.4872685185185,6,126.4872685185185,38.28331815091044,27.251563673202504,0.20063191802852343,72,False,0,3712,320,99.94,17182.8
160,126.4872685185185,6,126.4872685185185,44.24312838442342,37.47312008379013,0.20063191802852343,73,False,0,3734,322,90.29,17273.1
161,126.4872685185185,6,126.4872685185185,39.09215335644908,29.714651350410577,0.20063191802852343,74,False,0,3756,324,80.92,17354.1
162,126.4872685185185,6,126.4872685185185,42.23240531452784,43.90867579394791,0.26082149343708044,75,False,0,3778,326,86.0,17440.1
163,126.4872685185185,6,126.4872685185185,47.626142754039186,36.11557671190747,0.26082149343708044,76,False,0,3800,328,82.63,17522.7
164,126.4872685185185,6,126.4872685185185,50.03419744244521,55.67639958222664,0.26082149343708044,77,False,0,3828,330,116.12,17638.8
165,126.4872685185185,6,126.4872685185185,33.331908482412054,18.93772822482499,0.26082149343708044,78,False,0,3850,332,76.2,17715.0
166,126.4872685185185,6,126.4872685185185,37.010855604093116,18.71338981312057,0.26082149343708044,79,False,0,3872,334,75.04,17790.1
167,126.4872685185185,6,126.4872685185185,33.281785577079226,20.91795804115293,0.26082149343708044,80,False,3,3894,336,76.05,17866.1
168,126.4872685185185,6,126.4872685185185,37.654955852714444,33.022813606180925,0.26082149343708044,81,False,0,3916,338,80.07,17946.2
169,126.4872685185185,6,126.4872685185185,34.88687511821606,19.2817531011187,0.26082149343708044,82,False,0,3944,340,99.52,18045.7
170,126.4872685185185,6,126.4872685185185,34.01543269555724,12.364073509152472,0.26082149343708044,83,False,0,3966,342,71.95,18117.7
171,126.4872685185185,6,126.4872685185185,31.250685646442687,21.462801569612434,0.26082149343708044,84,False,0,3988,344,75.59,18193.3
172,126.4872685185185,6,126.4872685185185,30.326685898335995,16.500881830612702,0.26082149343708044,85,False,0,4010,346,71.86,18265.1
173,126.4872685185185,6,126.4872685185185,28.970630044520334,21.272164309069364,0.26082149343708044,86,False,0,4031,349,76.35,18341.5
